11 4
-1 5
-18 1
-4 8
-16 9
-20 3
-23 2
21 6
-6 7
12 0
-39 2
20 3
-33 1
-2 9
-23 7
5 8
-8 5
-14 4
-4 0
12 6
16 2
-17 1
-26 7
23 9
-1 5
-24 4
17 3
21 8
-6 0
-7 6
0 1
-19 7
19 2
16 4
-13 5
-13 0
26 9
20 3
-17 8
-18 6
28 7
5 1
-34 2
-20 5
-3 0
27 4
-9 8
-20 6
7 9
3 3
-9 1
8 2
-13 7
50 5
-23 0
-22 6
13 8
10 4
-20 9
10 3
26 1
0 7
-1 2
-9 0
-1 6
14 5
-21 8
4 9
48 4
-13 3
-33 7
23 2
-14 1
-4 0
7 6
2 8
-1 5
37 9
-12 3
6 4
9 7
-1 1
1 0
-3 2
6 6
-15 8
17 5
7 3
-23 9
-13 4
47 7
54 1
5 0
0 2
3 8
19 6
-7 3
0 9
-19 5
-35 4
