7 4
-1 5
-11 1
-5 8
16 9
-10 3
-14 2
-17 6
-19 7
16 0
-18 7
14 6
4 2
-9 1
-20 3
7 8
-4 5
-14 4
17 9
-8 0
-16 7
3 3
5 1
10 2
20 4
-14 5
13 6
-7 8
-19 0
1 9
0 7
-3 3
5 5
-18 1
-5 0
16 8
-14 2
-4 6
-3 4
-20 9
16 7
1 1
-8 3
-4 0
0 5
-13 2
10 6
-19 4
-14 8
18 9
-13 3
16 7
12 1
-18 2
14 0
17 5
-2 4
19 8
4 6
-11 9
-20 3
-2 2
-18 7
-2 1
11 4
11 0
-9 5
-1 8
14 6
6 9
0 3
-3 2
6 7
-15 1
4 5
-4 4
-17 0
11 8
13 9
19 6
-12 3
-7 2
16 1
-15 7
-9 0
7 4
1 5
-17 8
-19 9
-14 6
-18 3
-1 2
2 7
-12 1
-2 0
4 5
-6 4
4 8
-6 9
-8 6
