105 4
168 5
263 1
194 8
41 9
246 3
315 2
389 6
484 7
45 0
412 9
59 0
130 4
199 5
157 8
323 3
324 1
230 0
345 2
419 6
180 4
153 7
291 8
60 5
117 9
95 0
467 3
146 1
199 4
293 5
140 7
326 2
193 9
84 6
243 0
107 8
184 1
238 7
332 4
519 6
300 5
142 8
127 9
130 2
183 3
110 0
288 1
206 7
64 9
232 8
58 2
276 4
223 0
103 3
42 5
21 9
128 2
266 1
99 6
296 7
114 5
168 3
428 8
248 9
30 0
8 4
93 2
111 6
29 5
198 4
134 0
258 1
62 3
235 7
191 2
342 5
42 6
238 9
56 8
285 3
217 0
155 4
42 6
148 1
175 7
60 2
46 8
87 9
370 6
189 5
17 4
173 3
154 2
492 8
136 1
340 7
321 3
169 1
189 6
45 7
